tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id
1968-2029,Dublin,Grass,32,A,19680708,270,202866
1968-2029,Dublin,Grass,32,A,19680708,271,126914
1968-2029,Dublin,Grass,32,A,19680708,272,209523
1968-2029,Dublin,Grass,32,A,19680708,273,100084
1968-2029,Dublin,Grass,32,A,19680708,274,100132
1968-2029,Dublin,Grass,32,A,19680708,275,207073
1968-2029,Dublin,Grass,32,A,19680708,276,109783
1968-2029,Dublin,Grass,32,A,19680708,277,109745
1968-2029,Dublin,Grass,32,A,19680708,278,201749
1968-2029,Dublin,Grass,32,A,19680708,279,209525
1968-2029,Dublin,Grass,32,A,19680708,280,109813
1968-2029,Dublin,Grass,32,A,19680708,281,100068
1968-2029,Dublin,Grass,32,A,19680708,282,100061
1968-2029,Dublin,Grass,32,A,19680708,283,100073
1968-2029,Dublin,Grass,32,A,19680708,284,100158
1968-2029,Dublin,Grass,32,A,19680708,285,209524
1968-2029,Dublin,Grass,32,A,19680708,286,100084
1968-2029,Dublin,Grass,32,A,19680708,287,109783
1968-2029,Dublin,Grass,32,A,19680708,288,109745
1968-2029,Dublin,Grass,32,A,19680708,289,201749
1968-2029,Dublin,Grass,32,A,19680708,290,109813
1968-2029,Dublin,Grass,32,A,19680708,291,100068
1968-2029,Dublin,Grass,32,A,19680708,292,100061
1968-2029,Dublin,Grass,32,A,19680708,293,100073
1968-2029,Dublin,Grass,32,A,19680708,294,100084
1968-2029,Dublin,Grass,32,A,19680708,295,109745
1968-2029,Dublin,Grass,32,A,19680708,296,109813
1968-2029,Dublin,Grass,32,A,19680708,297,100073
1968-2029,Dublin,Grass,32,A,19680708,298,100084
1968-2029,Dublin,Grass,32,A,19680708,299,109745
1968-2029,Dublin,Grass,32,A,19680708,300,100084
1968-303,Buenos Aires,Clay,16,A,19681111,1,100029
1968-303,Buenos Aires,Clay,16,A,19681111,2,100099
1968-303,Buenos Aires,Clay,16,A,19681111,3,100022
1968-303,Buenos Aires,Clay,16,A,19681111,4,100026
1968-303,Buenos Aires,Clay,16,A,19681111,5,100029
1968-303,Buenos Aires,Clay,16,A,19681111,6,100022
1968-303,Buenos Aires,Clay,16,A,19681111,7,100022
1968-303,Buenos Aires,Clay,16,A,19681111,265,202589
1968-303,Buenos Aires,Clay,16,A,19681111,266,112528
1968-303,Buenos Aires,Clay,16,A,19681111,267,110413
1968-303,Buenos Aires,Clay,16,A,19681111,268,110119
1968-303,Buenos Aires,Clay,16,A,19681111,269,109923
1968-303,Buenos Aires,Clay,16,A,19681111,270,100282
1968-303,Buenos Aires,Clay,16,A,19681111,271,100032
1968-303,Buenos Aires,Clay,16,A,19681111,272,100038
1968-303,Buenos Aires,Clay,16,A,19681111,273,100122
1968-303,Buenos Aires,Clay,16,A,19681111,274,100061
1968-303,Buenos Aires,Clay,16,A,19681111,275,100088
1968-303,Buenos Aires,Clay,16,A,19681111,276,110119
1968-303,Buenos Aires,Clay,16,A,19681111,277,109923
1968-303,Buenos Aires,Clay,16,A,19681111,278,100068
1968-303,Buenos Aires,Clay,16,A,19681111,279,100054
1968-303,Buenos Aires,Clay,16,A,19681111,280,100113
1968-303,Buenos Aires,Clay,16,A,19681111,281,100099
1968-303,Buenos Aires,Clay,16,A,19681111,282,100030
1968-303,Buenos Aires,Clay,16,A,19681111,283,100022
1968-303,Buenos Aires,Clay,16,A,19681111,284,100026
1968-303,Buenos Aires,Clay,16,A,19681111,285,100029
1968-303,Buenos Aires,Clay,16,A,19681111,286,100068
1968-303,Buenos Aires,Clay,16,A,19681111,287,100054
1968-303,Buenos Aires,Clay,16,A,19681111,288,100113
1968-303,Buenos Aires,Clay,16,A,19681111,289,100099
1968-303,Buenos Aires,Clay,16,A,19681111,290,100030
1968-303,Buenos Aires,Clay,16,A,19681111,291,100022
1968-303,Buenos Aires,Clay,16,A,19681111,292,100026
1968-303,Buenos Aires,Clay,16,A,19681111,293,100029
1968-314,Gstaad,Clay,32,A,19680721,270,109825
1968-314,Gstaad,Clay,32,A,19680721,271,109821
1968-314,Gstaad,Clay,32,A,19680721,272,100011
1968-314,Gstaad,Clay,32,A,19680721,273,100058
1968-314,Gstaad,Clay,32,A,19680721,274,100032
1968-314,Gstaad,Clay,32,A,19680721,275,100069
1968-314,Gstaad,Clay,32,A,19680721,276,100038
1968-314,Gstaad,Clay,32,A,19680721,277,100037
1968-314,Gstaad,Clay,32,A,19680721,278,100084
1968-314,Gstaad,Clay,32,A,19680721,279,100087
1968-314,Gstaad,Clay,32,A,19680721,280,100039
1968-314,Gstaad,Clay,32,A,19680721,281,100009
1968-314,Gstaad,Clay,32,A,19680721,282,100055
1968-314,Gstaad,Clay,32,A,19680721,283,109768
1968-314,Gstaad,Clay,32,A,19680721,284,100057
1968-314,Gstaad,Clay,32,A,19680721,285,100017
1968-314,Gstaad,Clay,32,A,19680721,286,100069
1968-314,Gstaad,Clay,32,A,19680721,287,100037
1968-314,Gstaad,Clay,32,A,19680721,288,100084
1968-314,Gstaad,Clay,32,A,19680721,289,100087
1968-314,Gstaad,Clay,32,A,19680721,290,100009
1968-314,Gstaad,Clay,32,A,19680721,291,100055
1968-314,Gstaad,Clay,32,A,19680721,292,109768
1968-314,Gstaad,Clay,32,A,19680721,293,100057
1968-314,Gstaad,Clay,32,A,19680721,294,100069
1968-314,Gstaad,Clay,32,A,19680721,295,100084
1968-314,Gstaad,Clay,32,A,19680721,296,100087
1968-314,Gstaad,Clay,32,A,19680721,297,100055
1968-314,Gstaad,Clay,32,A,19680721,298,100084
1968-314,Gstaad,Clay,32,A,19680721,299,100055
1968-314,Gstaad,Clay,32,A,19680721,300,100055
1968-319,Kitzbuhel,Clay,32,A,19680820,270,109775
1968-319,Kitzbuhel,Clay,32,A,19680820,271,100137
1968-319,Kitzbuhel,Clay,32,A,19680820,272,100085
1968-319,Kitzbuhel,Clay,32,A,19680820,273,100025
1968-319,Kitzbuhel,Clay,32,A,19680820,274,100135
1968-319,Kitzbuhel,Clay,32,A,19680820,275,100050
1968-319,Kitzbuhel,Clay,32,A,19680820,276,106964
1968-319,Kitzbuhel,Clay,32,A,19680820,277,100054
