tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id
1877-540,Wimbledon,Grass,32,G,18770709,1,113987
1877-540,Wimbledon,Grass,32,G,18770709,2,114146
1877-540,Wimbledon,Grass,32,G,18770709,3,114147
1877-540,Wimbledon,Grass,32,G,18770709,4,114149
1877-540,Wimbledon,Grass,32,G,18770709,5,113953
1877-540,Wimbledon,Grass,32,G,18770709,6,114152
1877-540,Wimbledon,Grass,32,G,18770709,7,114154
1877-540,Wimbledon,Grass,32,G,18770709,8,113999
1877-540,Wimbledon,Grass,32,G,18770709,9,113976
1877-540,Wimbledon,Grass,32,G,18770709,10,114158
1877-540,Wimbledon,Grass,32,G,18770709,11,113963
1877-540,Wimbledon,Grass,32,G,18770709,12,113987
1877-540,Wimbledon,Grass,32,G,18770709,13,114149
1877-540,Wimbledon,Grass,32,G,18770709,14,113953
1877-540,Wimbledon,Grass,32,G,18770709,15,113999
1877-540,Wimbledon,Grass,32,G,18770709,16,114158
1877-540,Wimbledon,Grass,32,G,18770709,17,113999
1877-540,Wimbledon,Grass,32,G,18770709,18,113963
1877-540,Wimbledon,Grass,32,G,18770709,19,113987
1877-540,Wimbledon,Grass,32,G,18770709,20,113987
1877-540,Wimbledon,Grass,32,G,18770709,21,113987
1878-540,Wimbledon,Grass,64,G,18780708,1,113953
1878-540,Wimbledon,Grass,64,G,18780708,2,113955
1878-540,Wimbledon,Grass,64,G,18780708,3,113957
1878-540,Wimbledon,Grass,64,G,18780708,4,113959
1878-540,Wimbledon,Grass,64,G,18780708,5,113961
1878-540,Wimbledon,Grass,64,G,18780708,6,113963
1878-540,Wimbledon,Grass,64,G,18780708,7,113965
1878-540,Wimbledon,Grass,64,G,18780708,8,113967
1878-540,Wimbledon,Grass,64,G,18780708,9,113969
1878-540,Wimbledon,Grass,64,G,18780708,10,113971
1878-540,Wimbledon,Grass,64,G,18780708,11,113973
1878-540,Wimbledon,Grass,64,G,18780708,12,113975
1878-540,Wimbledon,Grass,64,G,18780708,13,113977
1878-540,Wimbledon,Grass,64,G,18780708,14,113979
1878-540,Wimbledon,Grass,64,G,18780708,15,113981
1878-540,Wimbledon,Grass,64,G,18780708,16,113983
1878-540,Wimbledon,Grass,64,G,18780708,17,113985
1878-540,Wimbledon,Grass,64,G,18780708,18,113955
1878-540,Wimbledon,Grass,64,G,18780708,19,113961
1878-540,Wimbledon,Grass,64,G,18780708,20,113965
1878-540,Wimbledon,Grass,64,G,18780708,21,113967
1878-540,Wimbledon,Grass,64,G,18780708,22,113975
1878-540,Wimbledon,Grass,64,G,18780708,23,113979
1878-540,Wimbledon,Grass,64,G,18780708,24,113981
1878-540,Wimbledon,Grass,64,G,18780708,25,113953
1878-540,Wimbledon,Grass,64,G,18780708,26,113961
1878-540,Wimbledon,Grass,64,G,18780708,27,113967
1878-540,Wimbledon,Grass,64,G,18780708,28,113975
1878-540,Wimbledon,Grass,64,G,18780708,29,113953
1878-540,Wimbledon,Grass,64,G,18780708,30,113975
1878-540,Wimbledon,Grass,64,G,18780708,31,113953
1878-540,Wimbledon,Grass,64,G,18780708,32,113953
1878-540,Wimbledon,Grass,64,G,18780708,33,113975
1878-540,Wimbledon,Grass,64,G,18780708,34,113975
1879-540,Wimbledon,Grass,64,G,18790707,1,113988
1879-540,Wimbledon,Grass,64,G,18790707,2,113963
1879-540,Wimbledon,Grass,64,G,18790707,3,113991
1879-540,Wimbledon,Grass,64,G,18790707,4,113993
1879-540,Wimbledon,Grass,64,G,18790707,5,113995
1879-540,Wimbledon,Grass,64,G,18790707,6,113953
1879-540,Wimbledon,Grass,64,G,18790707,7,113997
1879-540,Wimbledon,Grass,64,G,18790707,8,113999
1879-540,Wimbledon,Grass,64,G,18790707,9,114001
1879-540,Wimbledon,Grass,64,G,18790707,10,114002
1879-540,Wimbledon,Grass,64,G,18790707,11,114004
1879-540,Wimbledon,Grass,64,G,18790707,12,114006
1879-540,Wimbledon,Grass,64,G,18790707,13,114008
1879-540,Wimbledon,Grass,64,G,18790707,14,113981
1879-540,Wimbledon,Grass,64,G,18790707,15,114011
1879-540,Wimbledon,Grass,64,G,18790707,16,114013
1879-540,Wimbledon,Grass,64,G,18790707,17,113960
1879-540,Wimbledon,Grass,64,G,18790707,18,114016
1879-540,Wimbledon,Grass,64,G,18790707,19,114018
1879-540,Wimbledon,Grass,64,G,18790707,20,114019
1879-540,Wimbledon,Grass,64,G,18790707,21,114020
1879-540,Wimbledon,Grass,64,G,18790707,22,114021
1879-540,Wimbledon,Grass,64,G,18790707,23,113963
1879-540,Wimbledon,Grass,64,G,18790707,24,113991
1879-540,Wimbledon,Grass,64,G,18790707,25,113995
1879-540,Wimbledon,Grass,64,G,18790707,26,113999
1879-540,Wimbledon,Grass,64,G,18790707,27,114001
1879-540,Wimbledon,Grass,64,G,18790707,28,114006
1879-540,Wimbledon,Grass,64,G,18790707,29,113981
1879-540,Wimbledon,Grass,64,G,18790707,30,114011
1879-540,Wimbledon,Grass,64,G,18790707,31,113960
1879-540,Wimbledon,Grass,64,G,18790707,32,114019
1879-540,Wimbledon,Grass,64,G,18790707,33,114021
1879-540,Wimbledon,Grass,64,G,18790707,34,113963
1879-540,Wimbledon,Grass,64,G,18790707,35,113995
1879-540,Wimbledon,Grass,64,G,18790707,36,114001
1879-540,Wimbledon,Grass,64,G,18790707,37,114011
1879-540,Wimbledon,Grass,64,G,18790707,38,113960
1879-540,Wimbledon,Grass,64,G,18790707,39,114021
1879-540,Wimbledon,Grass,64,G,18790707,40,113995
1879-540,Wimbledon,Grass,64,G,18790707,41,114001
1879-540,Wimbledon,Grass,64,G,18790707,42,114021
1879-540,Wimbledon,Grass,64,G,18790707,43,113995
1879-540,Wimbledon,Grass,64,G,18790707,44,113995
1879-540,Wimbledon,Grass,64,G,18790707,45,113995
1880-540,Wimbledon,Grass,64,G,18800705,1,114015
1880-540,Wimbledon,Grass,64,G,18800705,2,114014
1880-540,Wimbledon,Grass,64,G,18800705,3,114709
1880-540,Wimbledon,Grass,64,G,18800705,4,114002
1880-540,Wimbledon,Grass,64,G,18800705,5,113992
1880-540,Wimbledon,Grass,64,G,18800705,6,114711
1880-540,Wimbledon,Grass,64,G,18800705,7,113998
1880-540,Wimbledon,Grass,64,G,18800705,8,114713
1880-540,Wimbledon,Grass,64,G,18800705,9,114714
1880-540,Wimbledon,Grass,64,G,18800705,10,113996
1880-540,Wimbledon,Grass,64,G,18800705,11,113959
1880-540,Wimbledon,Grass,64,G,18800705,12,113988
1880-540,Wimbledon,Grass,64,G,18800705,13,114697
1880-540,Wimbledon,Grass,64,G,18800705,14,114717
1880-540,Wimbledon,Grass,64,G,18800705,15,114693
1880-540,Wimbledon,Grass,64,G,18800705,16,113973
1880-540,Wimbledon,Grass,64,G,18800705,17,113967
1880-540,Wimbledon,Grass,64,G,18800705,18,114721
1880-540,Wimbledon,Grass,64,G,18800705,19,114723
1880-540,Wimbledon,Grass,64,G,18800705,20,114022
1880-540,Wimbledon,Grass,64,G,18800705,21,114725
1880-540,Wimbledon,Grass,64,G,18800705,22,114634
1880-540,Wimbledon,Grass,64,G,18800705,23,114727
1880-540,Wimbledon,Grass,64,G,18800705,24,114729
1880-540,Wimbledon,Grass,64,G,18800705,25,114730
1880-540,Wimbledon,Grass,64,G,18800705,26,113974
1880-540,Wimbledon,Grass,64,G,18800705,27,113963
1880-540,Wimbledon,Grass,64,G,18800705,28,114732
1880-540,Wimbledon,Grass,64,G,18800705,29,114680
1880-540,Wimbledon,Grass,64,G,18800705,30,114673
1880-540,Wimbledon,Grass,64,G,18800705,31,114015
1880-540,Wimbledon,Grass,64,G,18800705,32,114014
1880-540,Wimbledon,Grass,64,G,18800705,33,114002
1880-540,Wimbledon,Grass,64,G,18800705,34,113992
1880-540,Wimbledon,Grass,64,G,18800705,35,113996
1880-540,Wimbledon,Grass,64,G,18800705,36,113959
1880-540,Wimbledon,Grass,64,G,18800705,37,114697
1880-540,Wimbledon,Grass,64,G,18800705,38,114693
1880-540,Wimbledon,Grass,64,G,18800705,39,113967
1880-540,Wimbledon,Grass,64,G,18800705,40,114022
1880-540,Wimbledon,Grass,64,G,18800705,41,114727
1880-540,Wimbledon,Grass,64,G,18800705,42,114729
1880-540,Wimbledon,Grass,64,G,18800705,43,113963
1880-540,Wimbledon,Grass,64,G,18800705,44,114680
1880-540,Wimbledon,Grass,64,G,18800705,45,114673
1880-540,Wimbledon,Grass,64,G,18800705,46,114014
1880-540,Wimbledon,Grass,64,G,18800705,47,113992
1880-540,Wimbledon,Grass,64,G,18800705,48,113959
1880-540,Wimbledon,Grass,64,G,18800705,49,114693
1880-540,Wimbledon,Grass,64,G,18800705,50,114727
1880-540,Wimbledon,Grass,64,G,18800705,51,114729
1880-540,Wimbledon,Grass,64,G,18800705,52,113967
1880-540,Wimbledon,Grass,64,G,18800705,53,114014
1880-540,Wimbledon,Grass,64,G,18800705,54,113959
1880-540,Wimbledon,Grass,64,G,18800705,55,114680
1880-540,Wimbledon,Grass,64,G,18800705,56,113967
1880-540,Wimbledon,Grass,64,G,18800705,57,114014
1880-540,Wimbledon,Grass,64,G,18800705,58,113967
1880-540,Wimbledon,Grass,64,G,18800705,59,113967
1880-540,Wimbledon,Grass,64,G,18800705,60,113995
1881-540,Wimbledon,Grass,64,G,18810702,1,114684
1881-540,Wimbledon,Grass,64,G,18810702,2,114014
1881-540,Wimbledon,Grass,64,G,18810702,3,114637
1881-540,Wimbledon,Grass,64,G,18810702,4,114686
1881-540,Wimbledon,Grass,64,G,18810702,5,114015
1881-540,Wimbledon,Grass,64,G,18810702,6,114689
1881-540,Wimbledon,Grass,64,G,18810702,7,114690
1881-540,Wimbledon,Grass,64,G,18810702,8,114019
1881-540,Wimbledon,Grass,64,G,18810702,9,114692
1881-540,Wimbledon,Grass,64,G,18810702,10,114693
1881-540,Wimbledon,Grass,64,G,18810702,11,114695
1881-540,Wimbledon,Grass,64,G,18810702,12,113967
1881-540,Wimbledon,Grass,64,G,18810702,13,114697
1881-540,Wimbledon,Grass,64,G,18810702,14,113968
1881-540,Wimbledon,Grass,64,G,18810702,15,114699
1881-540,Wimbledon,Grass,64,G,18810702,16,114589
1881-540,Wimbledon,Grass,64,G,18810702,17,113998
1881-540,Wimbledon,Grass,64,G,18810702,18,114702
1881-540,Wimbledon,Grass,64,G,18810702,19,114580
1881-540,Wimbledon,Grass,64,G,18810702,20,114704
1881-540,Wimbledon,Grass,64,G,18810702,21,113992
1881-540,Wimbledon,Grass,64,G,18810702,22,114653
1881-540,Wimbledon,Grass,64,G,18810702,23,114673
1881-540,Wimbledon,Grass,64,G,18810702,24,114634
1881-540,Wimbledon,Grass,64,G,18810702,25,114014
1881-540,Wimbledon,Grass,64,G,18810702,26,114637
1881-540,Wimbledon,Grass,64,G,18810702,27,114015
1881-540,Wimbledon,Grass,64,G,18810702,28,114019
1881-540,Wimbledon,Grass,64,G,18810702,29,114693
1881-540,Wimbledon,Grass,64,G,18810702,30,113967
1881-540,Wimbledon,Grass,64,G,18810702,31,114697
1881-540,Wimbledon,Grass,64,G,18810702,32,114699
1881-540,Wimbledon,Grass,64,G,18810702,33,114702
1881-540,Wimbledon,Grass,64,G,18810702,34,114704
1881-540,Wimbledon,Grass,64,G,18810702,35,113992
1881-540,Wimbledon,Grass,64,G,18810702,36,114673
1881-540,Wimbledon,Grass,64,G,18810702,37,114014
1881-540,Wimbledon,Grass,64,G,18810702,38,114015
1881-540,Wimbledon,Grass,64,G,18810702,39,113967
1881-540,Wimbledon,Grass,64,G,18810702,40,114697
1881-540,Wimbledon,Grass,64,G,18810702,41,114702
1881-540,Wimbledon,Grass,64,G,18810702,42,114673
1881-540,Wimbledon,Grass,64,G,18810702,43,114015
1881-540,Wimbledon,Grass,64,G,18810702,44,113967
1881-540,Wimbledon,Grass,64,G,18810702,45,114673
1881-540,Wimbledon,Grass,64,G,18810702,46,114015
1881-540,Wimbledon,Grass,64,G,18810702,47,114015
1881-540,Wimbledon,Grass,64,G,18810702,48,114015
1881-560,US Open,Grass,32,G,18810905,1,114659
1881-560,US Open,Grass,32,G,18810905,2,116974
1881-560,US Open,Grass,32,G,18810905,3,116910
1881-560,US Open,Grass,32,G,18810905,4,116611
1881-560,US Open,Grass,32,G,18810905,5,116973
1881-560,US Open,Grass,32,G,18810905,6,116978
1881-560,US Open,Grass,32,G,18810905,7,116954
1881-560,US Open,Grass,32,G,18810905,8,116934
1881-560,US Open,Grass,32,G,18810905,9,116940
1881-560,US Open,Grass,32,G,18810905,10,116964
1881-560,US Open,Grass,32,G,18810905,11,116982
1881-560,US Open,Grass,32,G,18810905,12,111924
1881-560,US Open,Grass,32,G,18810905,13,114659
1881-560,US Open,Grass,32,G,18810905,14,116910
1881-560,US Open,Grass,32,G,18810905,15,116973
1881-560,US Open,Grass,32,G,18810905,16,116954
1881-560,US Open,Grass,32,G,18810905,17,116916
1881-560,US Open,Grass,32,G,18810905,18,116982
1881-560,US Open,Grass,32,G,18810905,19,114659
1881-560,US Open,Grass,32,G,18810905,20,116954
1881-560,US Open,Grass,32,G,18810905,21,116916
1881-560,US Open,Grass,32,G,18810905,22,114659
1881-560,US Open,Grass,32,G,18810905,23,116954
1881-560,US Open,Grass,32,G,18810905,24,114659
1882-540,Wimbledon,Grass,32,G,18820708,1,114647
1882-540,Wimbledon,Grass,32,G,18820708,2,113992
1882-540,Wimbledon,Grass,32,G,18820708,3,114675
1882-540,Wimbledon,Grass,32,G,18820708,4,114676
1882-540,Wimbledon,Grass,32,G,18820708,5,114652
1882-540,Wimbledon,Grass,32,G,18820708,6,113967
1882-540,Wimbledon,Grass,32,G,18820708,7,114578
1882-540,Wimbledon,Grass,32,G,18820708,8,114678
1882-540,Wimbledon,Grass,32,G,18820708,9,114679
1882-540,Wimbledon,Grass,32,G,18820708,10,114014
1882-540,Wimbledon,Grass,32,G,18820708,11,114680
1882-540,Wimbledon,Grass,32,G,18820708,12,114673
1882-540,Wimbledon,Grass,32,G,18820708,13,114681
1882-540,Wimbledon,Grass,32,G,18820708,14,114683
1882-540,Wimbledon,Grass,32,G,18820708,15,113992
1882-540,Wimbledon,Grass,32,G,18820708,16,114676
1882-540,Wimbledon,Grass,32,G,18820708,17,113967
1882-540,Wimbledon,Grass,32,G,18820708,18,114578
1882-540,Wimbledon,Grass,32,G,18820708,19,114014
1882-540,Wimbledon,Grass,32,G,18820708,20,114673
1882-540,Wimbledon,Grass,32,G,18820708,21,114683
1882-540,Wimbledon,Grass,32,G,18820708,22,113992
1882-540,Wimbledon,Grass,32,G,18820708,23,113967
1882-540,Wimbledon,Grass,32,G,18820708,24,114673
1882-540,Wimbledon,Grass,32,G,18820708,25,113992
1882-540,Wimbledon,Grass,32,G,18820708,26,114673
1882-540,Wimbledon,Grass,32,G,18820708,27,113992
1882-540,Wimbledon,Grass,32,G,18820708,28,114015
1882-560,US Open,Grass,64,G,18820830,1,114659
1882-560,US Open,Grass,64,G,18820830,2,116954
1882-560,US Open,Grass,64,G,18820830,3,116934
1882-560,US Open,Grass,64,G,18820830,4,116929
1882-560,US Open,Grass,64,G,18820830,5,116955
1882-560,US Open,Grass,64,G,18820830,6,116924
1882-560,US Open,Grass,64,G,18820830,7,114663
1882-560,US Open,Grass,64,G,18820830,8,116910
1882-560,US Open,Grass,64,G,18820830,9,116947
1882-560,US Open,Grass,64,G,18820830,10,111924
1882-560,US Open,Grass,64,G,18820830,11,115764
1882-560,US Open,Grass,64,G,18820830,12,116963
1882-560,US Open,Grass,64,G,18820830,13,114691
1882-560,US Open,Grass,64,G,18820830,14,116964
1882-560,US Open,Grass,64,G,18820830,15,116966
1882-560,US Open,Grass,64,G,18820830,16,114649
1882-560,US Open,Grass,64,G,18820830,17,116969
1882-560,US Open,Grass,64,G,18820830,18,116971
1882-560,US Open,Grass,64,G,18820830,19,116665
1882-560,US Open,Grass,64,G,18820830,20,116973
1882-560,US Open,Grass,64,G,18820830,21,116934
1882-560,US Open,Grass,64,G,18820830,22,115764
1882-560,US Open,Grass,64,G,18820830,23,114659
1882-560,US Open,Grass,64,G,18820830,24,116924
1882-560,US Open,Grass,64,G,18820830,25,116910
1882-560,US Open,Grass,64,G,18820830,26,116973
