tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id
2010-1536,Madrid Masters,Clay,56,M,20100509,300,103184
2010-1536,Madrid Masters,Clay,56,M,20100509,299,102110
2010-1536,Madrid Masters,Clay,56,M,20100509,298,103184
2010-1536,Madrid Masters,Clay,56,M,20100509,297,102110
2010-1536,Madrid Masters,Clay,56,M,20100509,296,103184
2010-1536,Madrid Masters,Clay,56,M,20100509,295,104160
2010-1536,Madrid Masters,Clay,56,M,20100509,294,104719
2010-1536,Madrid Masters,Clay,56,M,20100509,293,102110
2010-1536,Madrid Masters,Clay,56,M,20100509,292,103184
2010-1536,Madrid Masters,Clay,56,M,20100509,291,104160
2010-1536,Madrid Masters,Clay,56,M,20100509,290,104719
2010-1536,Madrid Masters,Clay,56,M,20100509,289,102382
2010-1536,Madrid Masters,Clay,56,M,20100509,288,103997
2010-1536,Madrid Masters,Clay,56,M,20100509,287,104597
2010-1536,Madrid Masters,Clay,56,M,20100509,286,103586
2010-1536,Madrid Masters,Clay,56,M,20100509,285,104597
2010-1536,Madrid Masters,Clay,56,M,20100509,284,103794
2010-1536,Madrid Masters,Clay,56,M,20100509,283,103428
2010-1536,Madrid Masters,Clay,56,M,20100509,282,103888
2010-1536,Madrid Masters,Clay,56,M,20100509,281,104719
2010-1536,Madrid Masters,Clay,56,M,20100509,280,104545
2010-1536,Madrid Masters,Clay,56,M,20100509,279,102382
2010-1536,Madrid Masters,Clay,56,M,20100509,278,102963
2010-1720,Bangkok,Hard,28,A,20100927,300,103577
2010-1720,Bangkok,Hard,28,A,20100927,299,102968
2010-1720,Bangkok,Hard,28,A,20100927,298,103577
2010-1720,Bangkok,Hard,28,A,20100927,297,102968
2010-1720,Bangkok,Hard,28,A,20100927,296,103843
2010-1720,Bangkok,Hard,28,A,20100927,295,103577
2010-1720,Bangkok,Hard,28,A,20100927,294,104098
2010-1720,Bangkok,Hard,28,A,20100927,293,104978
2010-1720,Bangkok,Hard,28,A,20100927,292,103582
2010-1720,Bangkok,Hard,28,A,20100927,291,104415
2010-1720,Bangkok,Hard,28,A,20100927,290,102968
2010-1720,Bangkok,Hard,28,A,20100927,289,103843
2010-1720,Bangkok,Hard,28,A,20100927,288,103577
2010-1720,Bangkok,Hard,28,A,20100927,287,102306
2010-1720,Bangkok,Hard,28,A,20100927,286,104098
2010-2276,Zagreb,Hard,32,A,20100201,300,103781
2010-2276,Zagreb,Hard,32,A,20100201,299,103781
2010-2276,Zagreb,Hard,32,A,20100201,298,103096
2010-2276,Zagreb,Hard,32,A,20100201,297,103781
2010-2276,Zagreb,Hard,32,A,20100201,296,102093
2010-2276,Zagreb,Hard,32,A,20100201,295,103096
2010-2276,Zagreb,Hard,32,A,20100201,294,103794
2010-2276,Zagreb,Hard,32,A,20100201,293,102886
2010-2276,Zagreb,Hard,32,A,20100201,292,103577
2010-2276,Zagreb,Hard,32,A,20100201,291,102093
2010-2276,Zagreb,Hard,32,A,20100201,290,104504
2010-2276,Zagreb,Hard,32,A,20100201,289,103794
2010-2276,Zagreb,Hard,32,A,20100201,288,103096
2010-2276,Zagreb,Hard,32,A,20100201,287,102306
2010-2276,Zagreb,Hard,32,A,20100201,286,103781
2010-301,Auckland,Hard,28,A,20100111,300,105428
2010-301,Auckland,Hard,28,A,20100111,299,105428
2010-301,Auckland,Hard,28,A,20100111,298,104249
2010-301,Auckland,Hard,28,A,20100111,297,103540
2010-301,Auckland,Hard,28,A,20100111,296,105428
2010-301,Auckland,Hard,28,A,20100111,295,105064
2010-301,Auckland,Hard,28,A,20100111,294,104249
2010-301,Auckland,Hard,28,A,20100111,293,102836
2010-301,Auckland,Hard,28,A,20100111,292,104160
2010-301,Auckland,Hard,28,A,20100111,291,104719
2010-301,Auckland,Hard,28,A,20100111,290,105064
2010-301,Auckland,Hard,28,A,20100111,289,102463
2010-301,Auckland,Hard,28,A,20100111,288,103540
2010-301,Auckland,Hard,28,A,20100111,287,105428
2010-301,Auckland,Hard,28,A,20100111,286,104249
2010-308,Munich,Clay,32,A,20100502,300,103594
2010-308,Munich,Clay,32,A,20100502,299,103780
2010-308,Munich,Clay,32,A,20100502,298,103594
2010-308,Munich,Clay,32,A,20100502,297,103577
2010-308,Munich,Clay,32,A,20100502,296,103780
2010-308,Munich,Clay,32,A,20100502,295,103594
2010-308,Munich,Clay,32,A,20100502,294,104339
2010-308,Munich,Clay,32,A,20100502,293,102904
2010-308,Munich,Clay,32,A,20100502,292,103586
2010-308,Munich,Clay,32,A,20100502,291,103780
2010-308,Munich,Clay,32,A,20100502,290,103594
2010-308,Munich,Clay,32,A,20100502,289,104339
2010-308,Munich,Clay,32,A,20100502,288,104871
2010-308,Munich,Clay,32,A,20100502,287,103843
2010-308,Munich,Clay,32,A,20100502,286,103577
2010-311,Queen's Club,Grass,56,A,20100607,300,104925
2010-311,Queen's Club,Grass,56,A,20100607,299,103971
2010-311,Queen's Club,Grass,56,A,20100607,298,104925
2010-311,Queen's Club,Grass,56,A,20100607,297,102110
2010-311,Queen's Club,Grass,56,A,20100607,296,104925
2010-311,Queen's Club,Grass,56,A,20100607,295,103971
2010-311,Queen's Club,Grass,56,A,20100607,294,103898
2010-311,Queen's Club,Grass,56,A,20100607,293,102110
2010-311,Queen's Club,Grass,56,A,20100607,292,103325
2010-311,Queen's Club,Grass,56,A,20100607,291,104979
2010-311,Queen's Club,Grass,56,A,20100607,290,103971
2010-311,Queen's Club,Grass,56,A,20100607,289,103888
2010-311,Queen's Club,Grass,56,A,20100607,288,102963
2010-311,Queen's Club,Grass,56,A,20100607,287,104925
2010-311,Queen's Club,Grass,56,A,20100607,286,103898
2010-311,Queen's Club,Grass,56,A,20100607,285,103971
2010-311,Queen's Club,Grass,56,A,20100607,284,105227
2010-311,Queen's Club,Grass,56,A,20100607,283,103096
2010-311,Queen's Club,Grass,56,A,20100607,282,104925
2010-311,Queen's Club,Grass,56,A,20100607,281,104415
2010-311,Queen's Club,Grass,56,A,20100607,280,104979
2010-311,Queen's Club,Grass,56,A,20100607,279,104043
2010-311,Queen's Club,Grass,56,A,20100607,278,104918
2010-314,Gstaad,Clay,32,A,20100725,300,103540
2010-314,Gstaad,Clay,32,A,20100725,299,103540
2010-314,Gstaad,Clay,32,A,20100725,298,104249
2010-314,Gstaad,Clay,32,A,20100725,297,103325
2010-314,Gstaad,Clay,32,A,20100725,296,102567
2010-314,Gstaad,Clay,32,A,20100725,295,104249
2010-314,Gstaad,Clay,32,A,20100725,294,103540
2010-314,Gstaad,Clay,32,A,20100725,293,103325
2010-314,Gstaad,Clay,32,A,20100725,292,104719
2010-314,Gstaad,Clay,32,A,20100725,291,103254
2010-314,Gstaad,Clay,32,A,20100725,290,104249
2010-314,Gstaad,Clay,32,A,20100725,289,102567
2010-314,Gstaad,Clay,32,A,20100725,288,103540
2010-314,Gstaad,Clay,32,A,20100725,287,104871
2010-314,Gstaad,Clay,32,A,20100725,286,104523
2010-315,Newport,Grass,32,A,20100705,300,104958
2010-315,Newport,Grass,32,A,20100705,299,104136
2010-315,Newport,Grass,32,A,20100705,298,104958
2010-315,Newport,Grass,32,A,20100705,297,104136
2010-315,Newport,Grass,32,A,20100705,296,104958
2010-315,Newport,Grass,32,A,20100705,295,102968
2010-315,Newport,Grass,32,A,20100705,294,102967
2010-315,Newport,Grass,32,A,20100705,293,104958
2010-315,Newport,Grass,32,A,20100705,292,102967
2010-315,Newport,Grass,32,A,20100705,291,102968
2010-315,Newport,Grass,32,A,20100705,290,104136
2010-315,Newport,Grass,32,A,20100705,289,103876
2010-315,Newport,Grass,32,A,20100705,288,102306
2010-315,Newport,Grass,32,A,20100705,287,103917
2010-315,Newport,Grass,32,A,20100705,286,103730
2010-316,Bastad,Clay,28,A,20100712,300,102963
2010-316,Bastad,Clay,28,A,20100712,299,102963
2010-316,Bastad,Clay,28,A,20100712,298,104312
2010-316,Bastad,Clay,28,A,20100712,297,104979
2010-316,Bastad,Clay,28,A,20100712,296,102963
2010-316,Bastad,Clay,28,A,20100712,295,103110
2010-316,Bastad,Clay,28,A,20100712,294,104312
2010-316,Bastad,Clay,28,A,20100712,293,104719
2010-316,Bastad,Clay,28,A,20100712,292,102963
2010-316,Bastad,Clay,28,A,20100712,291,104216
2010-316,Bastad,Clay,28,A,20100712,290,103110
2010-316,Bastad,Clay,28,A,20100712,289,103876
2010-316,Bastad,Clay,28,A,20100712,288,104926
2010-316,Bastad,Clay,28,A,20100712,287,104979
2010-316,Bastad,Clay,28,A,20100712,286,104312
2010-321,Stuttgart,Clay,28,A,20100712,300,104122
2010-321,Stuttgart,Clay,28,A,20100712,299,103577
2010-321,Stuttgart,Clay,28,A,20100712,298,104122
2010-321,Stuttgart,Clay,28,A,20100712,297,102306
2010-321,Stuttgart,Clay,28,A,20100712,296,104122
2010-321,Stuttgart,Clay,28,A,20100712,295,103577
2010-321,Stuttgart,Clay,28,A,20100712,294,103929
2010-321,Stuttgart,Clay,28,A,20100712,293,102306
2010-321,Stuttgart,Clay,28,A,20100712,292,103540
2010-321,Stuttgart,Clay,28,A,20100712,291,103577
2010-321,Stuttgart,Clay,28,A,20100712,290,104043
2010-321,Stuttgart,Clay,28,A,20100712,289,104665
2010-321,Stuttgart,Clay,28,A,20100712,288,104122
2010-321,Stuttgart,Clay,28,A,20100712,287,103859
2010-321,Stuttgart,Clay,28,A,20100712,286,103929
2010-328,Basel,Hard,32,A,20101101,300,103184
2010-328,Basel,Hard,32,A,20101101,299,103184
2010-328,Basel,Hard,32,A,20101101,298,102110
2010-328,Basel,Hard,32,A,20101101,297,103184
2010-328,Basel,Hard,32,A,20101101,296,102110
2010-328,Basel,Hard,32,A,20101101,295,103780
2010-328,Basel,Hard,32,A,20101101,294,104229
2010-328,Basel,Hard,32,A,20101101,293,103184
2010-328,Basel,Hard,32,A,20101101,292,102110
2010-328,Basel,Hard,32,A,20101101,291,103780
2010-328,Basel,Hard,32,A,20101101,290,104160
2010-328,Basel,Hard,32,A,20101101,289,103582
2010-328,Basel,Hard,32,A,20101101,288,104979
2010-328,Basel,Hard,32,A,20101101,287,104545
2010-328,Basel,Hard,32,A,20101101,286,104229
2010-329,Tokyo,Hard,32,A,20101004,300,103780
2010-329,Tokyo,Hard,32,A,20101004,299,104312
