tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id
1992-460,Heilbronn CH,Carpet,32,C,19920120,1,101373
1992-460,Heilbronn CH,Carpet,32,C,19920120,2,101721
1992-460,Heilbronn CH,Carpet,32,C,19920120,3,101835
1992-460,Heilbronn CH,Carpet,32,C,19920120,4,101274
1992-460,Heilbronn CH,Carpet,32,C,19920120,5,101500
1992-460,Heilbronn CH,Carpet,32,C,19920120,6,101510
1992-460,Heilbronn CH,Carpet,32,C,19920120,7,210013
1992-460,Heilbronn CH,Carpet,32,C,19920120,8,101659
1992-460,Heilbronn CH,Carpet,32,C,19920120,9,100829
1992-460,Heilbronn CH,Carpet,32,C,19920120,10,100962
1992-460,Heilbronn CH,Carpet,32,C,19920120,11,101685
1992-460,Heilbronn CH,Carpet,32,C,19920120,12,101642
1992-460,Heilbronn CH,Carpet,32,C,19920120,13,101249
1992-460,Heilbronn CH,Carpet,32,C,19920120,14,101866
1992-460,Heilbronn CH,Carpet,32,C,19920120,15,101338
1992-460,Heilbronn CH,Carpet,32,C,19920120,16,101914
1992-460,Heilbronn CH,Carpet,32,C,19920120,17,101373
1992-460,Heilbronn CH,Carpet,32,C,19920120,18,101835
1992-460,Heilbronn CH,Carpet,32,C,19920120,19,101500
1992-460,Heilbronn CH,Carpet,32,C,19920120,20,210013
1992-460,Heilbronn CH,Carpet,32,C,19920120,21,100962
1992-460,Heilbronn CH,Carpet,32,C,19920120,22,101685
1992-460,Heilbronn CH,Carpet,32,C,19920120,23,101249
1992-460,Heilbronn CH,Carpet,32,C,19920120,24,101338
1992-460,Heilbronn CH,Carpet,32,C,19920120,25,101373
1992-460,Heilbronn CH,Carpet,32,C,19920120,26,210013
1992-460,Heilbronn CH,Carpet,32,C,19920120,27,101685
1992-460,Heilbronn CH,Carpet,32,C,19920120,28,101338
1992-460,Heilbronn CH,Carpet,32,C,19920120,29,101373
1992-460,Heilbronn CH,Carpet,32,C,19920120,30,101685
1992-460,Heilbronn CH,Carpet,32,C,19920120,31,101373
1992-787,Bangalore CH,Clay,32,C,19920127,1,108227
1992-787,Bangalore CH,Clay,32,C,19920127,2,102233
1992-787,Bangalore CH,Clay,32,C,19920127,3,101531
1992-787,Bangalore CH,Clay,32,C,19920127,4,101076
1992-787,Bangalore CH,Clay,32,C,19920127,5,101513
1992-787,Bangalore CH,Clay,32,C,19920127,6,102113
1992-787,Bangalore CH,Clay,32,C,19920127,7,107798
1992-787,Bangalore CH,Clay,32,C,19920127,8,107254
1992-787,Bangalore CH,Clay,32,C,19920127,9,101354
1992-787,Bangalore CH,Clay,32,C,19920127,10,100794
1992-787,Bangalore CH,Clay,32,C,19920127,11,101375
1992-787,Bangalore CH,Clay,32,C,19920127,12,106967
1992-787,Bangalore CH,Clay,32,C,19920127,13,101876
1992-787,Bangalore CH,Clay,32,C,19920127,14,101926
1992-787,Bangalore CH,Clay,32,C,19920127,15,101929
1992-787,Bangalore CH,Clay,32,C,19920127,16,101680
1992-787,Bangalore CH,Clay,32,C,19920127,17,102233
1992-787,Bangalore CH,Clay,32,C,19920127,18,101531
1992-787,Bangalore CH,Clay,32,C,19920127,19,102113
1992-787,Bangalore CH,Clay,32,C,19920127,20,107254
1992-787,Bangalore CH,Clay,32,C,19920127,21,101354
1992-787,Bangalore CH,Clay,32,C,19920127,22,106967
1992-787,Bangalore CH,Clay,32,C,19920127,23,101926
1992-787,Bangalore CH,Clay,32,C,19920127,24,101680
1992-787,Bangalore CH,Clay,32,C,19920127,25,101531
